# u_torque_1, u_torque_2, u_torque_3, y_angle_1, y_angle_2, y_angle_3, y_vel_1, y_vel_2, y_vel_3
4.748515990322793590e-02,1.976054904651785571e-01,-1.193411525870012070e-02,1.950162958286409953e-01,9.372943441668837306e-01,1.976043557759801672e+00,-4.715974205519686713e+00,8.268144240548609691e-02,5.088010180956882955e+00
5.014876960493310637e-02,2.000380368429894584e-01,-1.555081536060690627e-02,1.909363330386397717e-01,9.374686979944997223e-01,1.986086338230490522e+00,-3.902029646138940322e+00,2.102357621157396328e-01,4.943736203027976117e+00
5.281750202109927739e-02,2.025699073390927751e-01,-1.689974336716141418e-02,1.874144689445780276e-01,9.376779225876390456e-01,1.990968245403741843e+00,-3.481395835528533933e+00,2.046590750518523238e-01,4.943736203027976117e+00
5.578368660485073793e-02,2.049528832049723470e-01,-1.795339544580417529e-02,1.839971339233021919e-01,9.379568887118249210e-01,1.995745623504207700e+00,-3.384001815163427906e+00,2.885340852271369716e-01,4.810105853549445420e+00
5.944084247227232609e-02,2.073940247744194276e-01,-1.913152458887376617e-02,1.799331500998411215e-01,9.382358548360106854e-01,2.000488047615366582e+00,-3.402890146488508183e+00,3.023956999946926238e-01,4.735266172197481360e+00
6.226159448646433753e-02,2.098006714602577705e-01,-2.032204814333389217e-02,1.766900856823971910e-01,9.385496917257197813e-01,2.005125776206171384e+00,-3.185216258671961231e+00,3.132744356350527504e-01,4.680554163021632519e+00
6.532874661454052267e-02,2.122033856417072650e-01,-2.146624554447882499e-02,1.734819752542604565e-01,9.388635286154287662e-01,2.009693929713497695e+00,-3.185497832474714741e+00,3.138008260692637941e-01,4.607777044451412785e+00
6.835562619939411499e-02,2.144774421125424380e-01,-2.249674410291675059e-02,1.703088188154309179e-01,9.392471070361843033e-01,2.014157387700470814e+00,-3.117558096353271413e+00,3.786689110271755920e-01,4.491980858366471985e+00
7.123134663621885632e-02,2.167355832318285103e-01,-2.346791957045236618e-02,1.673099329804337287e-01,9.396655562224629499e-01,2.018481362625350606e+00,-2.982469250059001986e+00,4.183389147648142181e-01,4.369007314437461709e+00
7.431470821806206162e-02,2.188939249723058089e-01,-2.436204852394560985e-02,1.642760931561291216e-01,9.401537469397880376e-01,2.022596112957090853e+00,-2.972166839123291382e+00,4.910841308844760555e-01,4.247391705251778227e+00
7.740202230465557942e-02,2.209922290061681338e-01,-2.502499302388856012e-02,1.612773737686998832e-01,9.407116791881596773e-01,2.026606167768477906e+00,-2.939545889895956332e+00,5.559480546531845313e-01,4.023899087866022128e+00
8.027631291966901006e-02,2.229544206327755129e-01,-2.590105137197837304e-02,1.584527585375343772e-01,9.413742237331009788e-01,2.030441951976032833e+00,-2.779350508543885656e+00,6.634079917009496619e-01,3.938043351629990863e+00
8.323771324233228408e-02,2.248894586212188129e-01,-2.651324327192703181e-02,1.556980512849839293e-01,9.421065098090887213e-01,2.034173207110801851e+00,-2.708898801206747642e+00,7.277344285309051974e-01,3.682551882802784782e+00
8.638255505676353807e-02,2.267352579979662885e-01,-2.738636597714467352e-02,1.529083900431258414e-01,9.429085374161229050e-01,2.037764812735909814e+00,-2.741183387640153679e+00,8.098402397632752381e-01,3.517545473200224038e+00
8.933794544088635714e-02,2.283558440109793308e-01,-2.758108467656852220e-02,1.502232578740534397e-01,9.438849188507731913e-01,2.041182147757186094e+00,-2.615456523521659804e+00,9.713082514800065459e-01,3.323048022182705452e+00
9.218620638136081069e-02,2.298624162135917137e-01,-2.845018390719347007e-02,1.477125627563811161e-01,9.450007833475163599e-01,2.044459999716369047e+00,-2.470533400077046249e+00,1.124194503996571060e+00,3.227153416993836732e+00
9.515601142459587103e-02,2.310880537082514175e-01,-2.868462466473247624e-02,1.452368216280162105e-01,9.463607432029221833e-01,2.047598368613459563e+00,-2.424075803217375036e+00,1.361047312850891977e+00,3.028026642987703632e+00
9.817119648142082211e-02,2.319378915954489195e-01,-2.896143741288787626e-02,1.427957015938223773e-01,9.480694107135602122e-01,2.050492725375671288e+00,-2.400235656740428603e+00,1.702369550778909169e+00,2.802630281541460988e+00
1.009168154670480044e-01,2.325715564136657809e-01,-2.938090393306016720e-02,1.405639726003360401e-01,9.500919151139072261e-01,2.053247432628221958e+00,-2.224472573047469481e+00,2.011821934130777478e+00,2.670912692033356794e+00
1.034633438790573678e-01,2.331915660852598438e-01,-2.989177124357081036e-02,1.385416346475571991e-01,9.522887733418704537e-01,2.055897610807986720e+00,-1.967858970198454349e+00,2.183414119179013735e+00,2.598475403914735526e+00
1.061213064971369552e-01,2.340455643544548658e-01,-3.001532594709412083e-02,1.366236593199956495e-01,9.544507608043103497e-01,2.058338564394612824e+00,-1.857500764870626542e+00,2.114861301181624853e+00,2.372148323150032656e+00
1.087986561513124284e-01,2.348138803020049237e-01,-3.006130623178490668e-02,1.347755919710487138e-01,9.566127482667503568e-01,2.060535505846360138e+00,-1.774397655292544673e+00,2.100339444393820809e+00,2.155514732634298269e+00
1.112195581876384148e-01,2.354039311347453090e-01,-3.041528161082847001e-02,1.331365827676731506e-01,9.588444772602366939e-01,2.062662539319492616e+00,-1.554652188784313660e+00,2.182540269446331394e+00,2.097855214439481308e+00
1.133807497100810247e-01,2.359706354549256646e-01,-3.081369612603557240e-02,1.318114936777905477e-01,9.611110770192463626e-01,2.064754785250886293e+00,-1.279514358665502227e+00,2.229896683173904215e+00,2.058638086793462829e+00
1.152694777673925197e-01,2.366834662767882680e-01,-3.096069533536443055e-02,1.308001582538329544e-01,9.633079352472095902e-01,2.066707548120186644e+00,-9.367273821379412668e-01,2.145120775536116575e+00,1.916140936654342708e+00
1.170595269713616271e-01,2.374275117369518406e-01,-3.080011000586306558e-02,1.300679554016292983e-01,9.654001811786030451e-01,2.068451086396347893e+00,-6.730140969766496006e-01,2.066505508513738043e+00,1.659749957427701039e+00
1.187107989001907338e-01,2.379725731823754131e-01,-3.079494798192120020e-02,1.295797646843042106e-01,9.675272978755197206e-01,2.069985400079369597e+00,-4.208203705930182448e-01,2.125598556389074467e+00,1.521008974076046849e+00
1.203476629166574940e-01,2.383218886119353452e-01,-3.079378504078180215e-02,1.292658445708110282e-01,9.697938976345293893e-01,2.071415184689606281e+00,-2.493682789146253187e-01,2.244936608017513269e+00,1.398076348507535149e+00
1.218488545660778577e-01,2.386282346073612948e-01,-3.106775410090383341e-02,1.291613154980255640e-01,9.721651096901087197e-01,2.072810015310535103e+00,-6.614071532257208286e-02,2.295172564673734872e+00,1.409173546581065972e+00
1.234287641253564854e-01,2.387826550182415297e-01,-3.108979245894374910e-02,1.291613154980255640e-01,9.746060632767344911e-01,2.074135104400417706e+00,-2.294202314057843927e-03,2.408709225021310463e+00,1.299519275760121051e+00
1.247891284892685970e-01,2.387341046031528913e-01,-3.091819703370535938e-02,1.296842937570896748e-01,9.800459026983574518e-01,2.075320668816315273e+00,1.839807388378412734e-01,2.586827541803308428e+00,1.115765321733856785e+00
1.260812412217297007e-01,2.383883055814264296e-01,-3.052422896082122514e-02,1.296842937570896748e-01,9.800459026983574518e-01,2.076262179485442338e+00,3.405926427543812252e-01,2.825240103077313325e+00,8.697363971548387473e-01
1.273996879534001758e-01,2.379567616243709050e-01,-3.017792247526315114e-02,1.301027429433683213e-01,9.830796592988780835e-01,2.076994465561430303e+00,4.560434501354516668e-01,2.984763452373059511e+00,6.878085116572667523e-01
1.286602379119943795e-01,2.374345970561268782e-01,-2.946049468717308606e-02,1.306606751917400722e-01,9.862180281959683770e-01,2.077412914747708950e+00,5.580980024081965141e-01,3.118203080679774697e+00,3.868137453610012155e-01
1.292107625693053041e-01,2.343085500376154706e-01,-2.890567679871023157e-02,1.321252473437155572e-01,9.929829567074740515e-01,2.077657010106371160e+00,6.844830279523370642e-01,3.272588054841042648e+00,1.988216201312281439e-01
1.302358588189419519e-01,2.336099380091875011e-01,-2.824932797016230235e-02,1.330318872473195135e-01,9.963305501977036682e-01,2.077657010106371160e+00,8.215796480371740929e-01,3.346477597991598163e+00,9.275984265575472343e-03
1.312555552679984527e-01,2.329796694746259778e-01,-2.743887192991500620e-02,1.340432226712771069e-01,9.997130144534563945e-01,2.077482697890647323e+00,9.185741942387681824e-01,3.281590094150737880e+00,-2.254740369780367515e-01
1.323962086641941316e-01,2.322423217390847672e-01,-2.671260099633034762e-02,1.350196041059272822e-01,1.003025737178163013e+00,2.077133990235414895e+00,9.601437808476899205e-01,3.325768746390096453e+00,-3.861743092867687133e-01
1.336210905427878681e-01,2.316040357139144690e-01,-2.603981866654263982e-02,1.359959855405776796e-01,1.006303589137345966e+00,2.076645799518090030e+00,9.543652761074452595e-01,3.247676402144259900e+00,-4.968099272281463197e-01
1.349392763901688386e-01,2.308098588799218087e-01,-2.526394022237194587e-02,1.369026254441814139e-01,1.009651182627575583e+00,2.076018125738671838e+00,9.472655937951688365e-01,3.228272083357976996e+00,-6.355779583096217156e-01
1.363968546774401991e-01,2.298638748602684356e-01,-2.463402231914600324e-02,1.377395238167389291e-01,1.012998776117805200e+00,2.075320710428207427e+00,8.920632578248700595e-01,3.311548575819527329e+00,-6.952861686555049658e-01
1.379640749545139600e-01,2.289370681566318122e-01,-2.399371817018779163e-02,1.385066806582497811e-01,1.016416111139081258e+00,2.074553553586696353e+00,7.882686349336334164e-01,3.359358559170254832e+00,-7.540047095025488311e-01
1.395206958476425674e-01,2.277695468231025755e-01,-2.361295926624044916e-02,1.392738374997608553e-01,1.019938058456927088e+00,2.073821267510708832e+00,7.604406821369069647e-01,3.480321555182562143e+00,-7.028137599241820466e-01
1.409696877114026969e-01,2.262882651399479583e-01,-2.315071525524391854e-02,1.401107358723181484e-01,1.023599488836865579e+00,2.073088981434720868e+00,8.439661524191186537e-01,3.606640001699450426e+00,-7.033997940703061724e-01
1.422890043010274497e-01,2.247988991888575927e-01,-2.299572781262639726e-02,1.410521633176611278e-01,1.027365531513373842e+00,2.072496178420826229e+00,9.784231914860281876e-01,3.736910190896357786e+00,-5.961479164827037103e-01
1.434978385381503463e-01,2.230695970382615689e-01,-2.291987085105399655e-02,1.421680278144044074e-01,1.031340798783021651e+00,2.071973116937977810e+00,1.115820110725032954e+00,3.908166706682198122e+00,-4.775672012892561158e-01
1.444727564398266551e-01,2.212532803196570197e-01,-2.291015543542445840e-02,1.434931169042867882e-01,1.035420678349238788e+00,2.071589538517222273e+00,1.351059765231560572e+00,4.040115242191082423e+00,-3.714651989848180014e-01
1.454645038746613939e-01,2.192552152341330773e-01,-2.300812185356886433e-02,1.449576890562624953e-01,1.039674911743072361e+00,2.071310572393036509e+00,1.488487893389589978e+00,4.178094034387008548e+00,-2.482281130729351304e-01
1.463944183612958250e-01,2.172273038926044730e-01,-2.314172767810783807e-02,1.465617442703308626e-01,1.043998886667952153e+00,2.071136218565420073e+00,1.606065068453520484e+00,4.242878202029320533e+00,-1.437475874946962384e-01
