# u_torque_1, u_torque_2, u_torque_3, y_angle_1, y_angle_2, y_angle_3, y_vel_1, y_vel_2, y_vel_3
3.599999999999999867e-01,4.947522248191432021e-02,-9.855315504911553448e-02,7.026299463264438216e-01,1.302461000726096163e+00,2.456790989509532785e+00,8.210369596119170055e+00,4.059934986366156906e+00,-6.024801367995941348e+00
3.564879121639222270e-01,4.650432304437303321e-02,-9.841159367753869736e-02,7.111384131141106346e-01,1.306506009526790191e+00,2.450549122480875308e+00,8.449834244730062949e+00,3.962018736756043324e+00,-6.190961814070869984e+00
3.498264712108253849e-01,4.360761471921752869e-02,-9.859364922757583860e-02,7.198213169531777478e-01,1.310446406030914668e+00,2.444237513921171612e+00,8.668970790551551175e+00,3.826919487488765093e+00,-6.190961814070869984e+00
3.429068375482470787e-01,4.084260633098445170e-02,-9.867079677890278067e-02,7.287132789378161224e-01,1.314212448707422931e+00,2.437925905361467915e+00,8.857840233171677014e+00,3.646085301220113539e+00,-6.256017152542927562e+00
3.357604368515788584e-01,3.798832560698848365e-02,-9.893069680268962163e-02,7.377796779738545752e-01,1.317873879087361644e+00,2.431579426036241109e+00,9.013020688002299607e+00,3.591821313415147987e+00,-6.233094548285297520e+00
3.280968345108407069e-01,3.518718878855131571e-02,-9.903376245878846296e-02,7.471599971233862103e-01,1.321465567936253693e+00,2.425267817476537413e+00,9.313715848675931497e+00,3.497467735294548685e+00,-6.308934302109108216e+00
3.202331349692001949e-01,3.233650084714167344e-02,-9.944146173363754837e-02,7.567493744184889959e-01,1.324987515254099524e+00,2.418886467385787054e+00,9.527114808117673306e+00,3.465899566935635612e+00,-6.226157845883481201e+00
3.120241390750818633e-01,2.927499458471208987e-02,-9.955968805093863561e-02,7.665829302960385228e-01,1.328579204102991573e+00,2.412435375763990475e+00,9.770772548382375078e+00,3.560939741274770753e+00,-6.281324118214019592e+00
3.035865468172581072e-01,2.620488610208433419e-02,-9.953708506657080179e-02,7.766257107667272619e-01,1.332240634482930286e+00,2.405914542611147233e+00,9.956452439478207239e+00,3.580579860782571622e+00,-6.456328478408918770e+00
2.948941011051921524e-01,2.306158354414957617e-02,-9.924988186686979630e-02,7.868429282888163012e-01,1.335902064862868999e+00,2.399254226396211553e+00,1.013878950858076600e+01,3.638452293158287887e+00,-6.624978702690458299e+00
2.860052759803116684e-01,1.983776666396031702e-02,-9.921344615455190974e-02,7.971994624254300499e-01,1.339668107539377262e+00,2.392489297884705657e+00,1.028800143103086207e+01,3.668883763333180337e+00,-6.707949347745569391e+00
2.769092707113742780e-01,1.653616901703894651e-02,-9.902627027040762642e-02,8.077304336134439877e-01,1.343469020981408857e+00,2.385584886311107322e+00,1.038743512763709553e+01,3.718208419553890920e+00,-6.840058089038778988e+00
2.673794052381653352e-01,1.319789058905940227e-02,-9.924465242911009732e-02,8.184706293945972488e-01,1.347304805188963561e+00,2.378680474737508543e+00,1.063663002366824983e+01,3.745588350979733416e+00,-6.777520270034686156e+00
2.577934011960263394e-01,9.830382759429852693e-03,-9.935390784517587892e-02,8.293155206961043691e-01,1.351140589396518266e+00,2.371776063163910209e+00,1.074222366735835799e+01,3.768257122695965577e+00,-6.777170036610079329e+00
2.479800795409998482e-01,6.448115489074621870e-03,-9.935037827687566436e-02,8.402997286121361986e-01,1.354976373604072970e+00,2.364871651590311430e+00,1.084848032719485111e+01,3.772033401897913585e+00,-6.840326485742388662e+00
2.381109358828517042e-01,2.879814965762001692e-03,-9.953209261818876663e-02,8.513188905174753351e-01,1.358916770108197447e+00,2.357967240016713095e+00,1.086822239583813143e+01,3.855264121278227929e+00,-6.817463525196671092e+00
2.280514224866094231e-01,-5.929396195762282225e-04,-9.939592584951562060e-02,8.623730064121216676e-01,1.362822295846798593e+00,2.350958216146544544e+00,1.093687092118719484e+01,3.834322936612878152e+00,-6.933477480183247721e+00
2.177222458881405143e-01,-4.061168530871770571e-03,-9.939800986219368695e-02,8.735316513795536864e-01,1.366692950819876629e+00,2.343914321510853327e+00,1.107897761307274287e+01,3.800557660354650480e+00,-6.977223368745469223e+00
2.058809154761086224e-01,-7.575859778151164056e-03,-9.922132945156442174e-02,8.854764282112633778e-01,1.370563605792954665e+00,2.336765814578591893e+00,1.199271373133120022e+01,3.780887025459358952e+00,-7.089257839790672477e+00
1.961741941257916233e-01,-1.100154186423876745e-02,-9.880978092278368263e-02,8.967745562407883897e-01,1.374329648469462928e+00,2.329408083053191802e+00,1.117854793539114766e+01,3.713420971375552160e+00,-7.270963101665870454e+00
1.855520646492332670e-01,-1.445383020037970152e-02,-9.857129669584564768e-02,9.080726426584212474e-01,1.378060820380448082e+00,2.321980609996744604e+00,1.117026231415594495e+01,3.665321091843665613e+00,-7.352726308320506554e+00
1.748900018422779867e-01,-1.770843366606876176e-02,-9.839799098076415507e-02,9.193358999224229278e-01,1.381652509229340131e+00,2.314518266174774741e+00,1.112130592317972422e+01,3.485902403435652719e+00,-7.396689965784364773e+00
1.640360194357692591e-01,-2.108561969020566335e-02,-9.829432350638805937e-02,9.305991571864246081e-01,1.385174456547185962e+00,2.307021051587281324e+00,1.115693818632714240e+01,3.447002913232148913e+00,-7.400105608588696704e+00
1.530453894225773659e-01,-2.433371047788873004e-02,-9.820644253228756615e-02,9.418972852159495091e-01,1.388591791568461797e+00,2.299523836999787907e+00,1.119516911213199073e+01,3.321755972935096946e+00,-7.398097834798130101e+00
