# u_torque_1, u_torque_2, u_torque_3, y_angle_1, y_angle_2, y_angle_3, y_vel_1, y_vel_2, y_vel_3
-3.599999999999999867e-01,5.510028833384601928e-03,5.275044438487810905e-02,1.545161570379634419e+00,1.220061381794715460e+00,2.024688358888484530e+00,-8.385108333736596142e-01,1.163586401589125768e-01,6.746284303280498662e+00
-3.599999999999999867e-01,6.824882292778005830e-03,5.118151564102669387e-02,1.544115447413937803e+00,1.220131123325761902e+00,2.031488074941729227e+00,-1.067273596885330633e+00,7.481610127981197511e-02,6.746284303280498662e+00
-3.599999999999999867e-01,8.118770085160310207e-03,5.299274564957306977e-02,1.542755487558531868e+00,1.220200864856808343e+00,2.031488074941729227e+00,-1.390431550409633177e+00,5.303574345847383159e-02,6.720318482652226422e+00
-3.599999999999999867e-01,9.335386521844454139e-03,4.805233748207658750e-02,1.541081690813417060e+00,1.220305477153377893e+00,2.045052885954047994e+00,-1.699353382138087731e+00,8.269670009923134335e-02,6.658661448696154395e+00
-3.599999999999999867e-01,1.060519107147499078e-02,4.972996833975772135e-02,1.539163798709639819e+00,1.220375218684424334e+00,2.045052885954047994e+00,-1.941925052020740061e+00,8.194144425884170024e-02,6.658661448696154395e+00
-3.599999999999999867e-01,1.184376139821030280e-02,4.479455002534930841e-02,1.537141294309292805e+00,1.220479830980994107e+00,2.058478047456705706e+00,-2.025255639941932806e+00,8.615603539019885126e-02,6.588159807088577402e+00
-3.599999999999999867e-01,1.301561140617848132e-02,4.638883628885585864e-02,1.535014177612376018e+00,1.220619314043086989e+00,2.058478047456705706e+00,-2.141547007542059955e+00,1.306093261169720132e-01,6.588159807088577402e+00
-3.599999999999999867e-01,1.416384807100060442e-02,4.116297048746737908e-02,1.532642965556796799e+00,1.220793667870703203e+00,2.071903375406931147e+00,-2.407281243593062836e+00,1.719770950495361772e-01,6.620775901595176371e+00
-3.599999999999999867e-01,1.530966141834623657e-02,4.267238017740111744e-02,1.530027658142554703e+00,1.221002892463842526e+00,2.078598520775498670e+00,-2.618359646522460338e+00,1.888521043317778481e-01,6.620775901595176371e+00
-3.599999999999999867e-01,1.639547647375763986e-02,3.754506749632730012e-02,1.527342609197266388e+00,1.221246987822504959e+00,2.085258836990434350e+00,-2.672125678686104067e+00,2.385921859412786228e-01,6.578788115471327913e+00
-3.599999999999999867e-01,1.756104126711754976e-02,3.569036278544185370e-02,1.524552947955408522e+00,1.221456212415644504e+00,2.091814540908800701e+00,-2.749405203974239154e+00,2.300513451016104605e-01,6.578788115471327913e+00
-3.599999999999999867e-01,1.868665659762605916e-02,3.415413751600342163e-02,1.518311080926751266e+00,1.221944403132969592e+00,2.098335374061643943e+00,-3.038166767544487001e+00,2.338928162677429701e-01,6.406463561123320716e+00
-3.599999999999999867e-01,1.983657158551611899e-02,3.194091310180928456e-02,1.518311080926751266e+00,1.221944403132969592e+00,2.105433114485625090e+00,-3.166818254141330780e+00,2.100602986376692849e-01,6.406463561123320716e+00
-3.599999999999999867e-01,2.092950560182845962e-02,2.780329851075471689e-02,1.515068099733091200e+00,1.222188498491632025e+00,2.111744723045329231e+00,-3.235844060644821774e+00,2.396179190798794212e-01,7.543106956152944242e+00
-3.599999999999999867e-01,2.197059923254530284e-02,2.868572283378013205e-02,1.508024205097399761e+00,1.222606947677910894e+00,2.117986590073986264e+00,-3.451523351769944625e+00,1.951611606954369305e-01,6.164954381550564300e+00
-3.599999999999999867e-01,2.325827882007196201e-02,2.680205296401706044e-02,1.508024205097399761e+00,1.222606947677910894e+00,2.124158715571597078e+00,-3.548881308495289488e+00,1.930098258773572661e-01,6.164954381550564300e+00
-3.599999999999999867e-01,2.436325185876483945e-02,2.491520638295635984e-02,1.504397645482984380e+00,1.222816172271050217e+00,2.130365711834731002e+00,-3.640056431596140119e+00,2.228691325368030163e-01,6.135386358135345830e+00
-3.599999999999999867e-01,2.556913431327697411e-02,2.295901802197769861e-02,1.500596732040953007e+00,1.222990526098666209e+00,2.136502966566818706e+00,-3.753871891620334189e+00,1.717745838416447623e-01,6.135386358135345830e+00
-3.599999999999999867e-01,2.660275947662028156e-02,2.132741757451316056e-02,1.492785680563750494e+00,1.223339233753898636e+00,2.142535609002336638e+00,-3.943272579395407096e+00,1.662207833183753369e-01,5.976616877616921286e+00
-3.599999999999999867e-01,2.787004287719625772e-02,1.938516482256723295e-02,1.492785680563750494e+00,1.223339233753898636e+00,2.148463639141284798e+00,-3.943272579395407096e+00,1.662207833183753369e-01,5.858181804045587526e+00
-3.599999999999999867e-01,2.889662798221317996e-02,1.781349115210839607e-02,1.484556179900269335e+00,1.223687941409130842e+00,2.154321927749186738e+00,-4.094569257636329951e+00,1.577264090914767547e-01,5.785981010180018203e+00
-3.599999999999999867e-01,3.015350327330639998e-02,1.621809122067746634e-02,1.484556179900269335e+00,1.223687941409130842e+00,2.160040733294995796e+00,-4.094569257636329951e+00,1.577264090914767547e-01,5.619234529958965219e+00
-3.599999999999999867e-01,3.111617301024367094e-02,1.456835758041059338e-02,1.475873359284986419e+00,1.224036649064363047e+00,2.165620055778711528e+00,-4.313433245565006402e+00,2.023128578727538818e-01,5.491627501852137883e+00
-3.599999999999999867e-01,3.236178843428454133e-02,1.268726598636977544e-02,1.475873359284986419e+00,1.224036649064363047e+00,2.171059895200334822e+00,-4.313433245565006402e+00,2.023128578727538818e-01,5.491627501852137883e+00
-3.599999999999999867e-01,3.337761104345210450e-02,1.137151337157221200e-02,1.466841831014471076e+00,1.224385356719595253e+00,2.176360251559865233e+00,-4.491931617627567874e+00,1.820624306151435445e-01,5.220850598018331290e+00
-3.599999999999999867e-01,3.461111958363417840e-02,9.681286701198991984e-03,1.466841831014471076e+00,1.224385356719595253e+00,2.181555995622825428e+00,-4.491931617627567874e+00,1.820624306151435445e-01,5.140459196737698910e+00
-3.599999999999999867e-01,3.572076959177783451e-02,8.021396021343548538e-03,1.462169148434358856e+00,1.224559710547211466e+00,2.186681998154739404e+00,-4.671315629458886676e+00,1.775038478429844802e-01,5.039313170774330608e+00
-3.599999999999999867e-01,3.679854180343704317e-02,6.194911413455855484e-03,1.457426724323200418e+00,1.224768935140350790e+00,2.191773129921130270e+00,-4.677766166255455715e+00,1.738343724972529203e-01,5.007151339422419412e+00
-3.599999999999999867e-01,3.781568912464064458e-02,4.609327978400024062e-03,1.452544817149948875e+00,1.224978159733490113e+00,2.196724778625428254e+00,-4.828622451972369056e+00,2.240016695316205675e-01,4.866379695739580846e+00
-3.599999999999999867e-01,3.872889761973592054e-02,2.885025229413862302e-03,1.442432295148213584e+00,1.225396608919768759e+00,2.201606685798680019e+00,-5.112658985202327422e+00,2.246542827049967661e-01,4.789382437785732805e+00
-3.599999999999999867e-01,3.992846951037773429e-02,1.013029109053042998e-03,1.442432295148213584e+00,1.225396608919768759e+00,2.206383980675361567e+00,-5.112658985202327422e+00,2.246542827049967661e-01,4.654942737007170095e+00
-3.599999999999999867e-01,4.080003451676839088e-02,-4.135108787263822028e-04,1.431831582429153205e+00,1.225849928871570738e+00,2.211021792489950677e+00,-5.359646370361160983e+00,2.279270580133519741e-01,4.578549545019326317e+00
-3.599999999999999867e-01,4.183812330581897221e-02,-2.220419707764605122e-03,1.426322001476483692e+00,1.226059153464710061e+00,2.215485250476923351e+00,-5.359646370361160983e+00,2.279270580133519741e-01,4.578549545019326317e+00
-3.599999999999999867e-01,4.288198628379768368e-02,-3.349648734629194491e-03,1.420638066696197965e+00,1.226268378057849384e+00,2.219809225401803587e+00,-5.642411660289528008e+00,2.143324528863380651e-01,4.251684665446464173e+00
