# u_torque_1, u_torque_2, u_torque_3, y_angle_1, y_angle_2, y_angle_3, y_vel_1, y_vel_2, y_vel_3
-8.269330925242825148e-03,-1.239734526237564194e-01,2.035252526130263903e-04,8.641862862193293582e-01,1.436818060287082144e+00,1.705097792868127238e+00,3.589341938181545455e+00,4.526305814572537667e-01,-2.966927901916401652e-03
-9.255527125726938781e-03,-1.251581041711565256e-01,-3.692213546639930467e-05,8.679173749065304255e-01,1.436992414114698136e+00,1.705097792868127238e+00,3.685141529550273631e+00,1.763518919652184436e-01,-1.387063067749603268e-05
-1.039513937081720449e-02,-1.264175660214685304e-01,-2.762712848731083636e-04,8.717881131033924369e-01,1.437062155645744799e+00,1.705097792868127238e+00,3.816595577075505119e+00,4.382772528321809274e-02,-1.387063067749603268e-05
-1.155315899944347330e-02,-1.276535184466092432e-01,-5.204295585048865315e-04,8.757284263837328275e-01,1.437027326492113399e+00,1.705097792868127238e+00,3.904600567535013944e+00,-4.271807482901841119e-02,-1.387063067749603268e-05
-1.266181418358663414e-02,-1.287279732412300315e-01,-7.693975492266022466e-04,8.796689061116412800e-01,1.436852972664497408e+00,1.705097792868127238e+00,3.936757544166186396e+00,-1.962333604468073645e-01,-1.387063067749603268e-05
-1.478008497366845725e-02,-1.298599629298333447e-01,-1.023175193788627806e-03,8.844303052455666503e-01,1.436608877305834753e+00,1.705097792868127238e+00,4.315290523012722979e+00,-2.459616520202322354e-01,-1.387063067749603268e-05
-1.562464156257692936e-02,-1.308666344423337624e-01,-1.281761772279832283e-03,8.884403600569534820e-01,1.436260169650602547e+00,1.705097792868127238e+00,4.014527396248771751e+00,-3.497750002628835508e-01,-1.387063067749603268e-05
-1.683276587500569590e-02,-1.319348184687001435e-01,-1.545155907659845167e-03,8.925203228469549277e-01,1.435876591229847010e+00,1.705097792868127238e+00,4.014595362339091089e+00,-3.690912405443645961e-01,-1.387063067749603268e-05
-1.803756714190703561e-02,-1.329155826247578331e-01,-1.795920182604704256e-03,8.966001191893882005e-01,1.435423271278045032e+00,1.705062922102603906e+00,4.004510720305017202e+00,-4.278638768510507062e-01,-4.982816011430287600e-02
-1.937581687997034716e-02,-1.339145810157967853e-01,-2.060664096734832629e-03,9.007148695211286693e-01,1.434969951326243276e+00,1.705062922102603906e+00,4.092796591035746445e+00,-4.686899976556587744e-01,-4.143157383368064467e-03
-2.063613333516320369e-02,-1.349800651783450711e-01,-2.346451385912014416e-03,9.048296614647612923e-01,1.434516631374441298e+00,1.705062922102603906e+00,4.095849516847863470e+00,-4.427519182887411642e-01,-1.504963428508319435e-04
-2.177506741130965165e-02,-1.360369447515430152e-01,-2.629322075195217150e-03,9.088746702654554310e-01,1.434063311422639320e+00,1.705062922102603906e+00,4.025929054665673412e+00,-4.245758438489503628e-01,-1.387063067749603268e-05
-2.311489646239687709e-02,-1.371432286521392374e-01,-2.916710316808890195e-03,9.129894205971960108e-01,1.433644862236360673e+00,1.705062922102603906e+00,4.093542137434662109e+00,-3.800004915722152155e-01,-1.387063067749603268e-05
-2.419363664324694629e-02,-1.381358880212055495e-01,-3.208884036857084614e-03,9.169995586323668180e-01,1.433191542284558695e+00,1.705062922102603906e+00,3.976037783181787688e+00,-4.226762609776672508e-01,-1.387063067749603268e-05
-2.546442609947688340e-02,-1.391632757870020221e-01,-3.505837251782040025e-03,9.210445674330609567e-01,1.432773093098280048e+00,1.705062922102603906e+00,4.014817985961465219e+00,-4.525126810964950064e-01,-1.387063067749603268e-05
-2.651249421766958131e-02,-1.401786852294200914e-01,-3.807563319941853312e-03,9.250198347027085433e-01,1.432319773146478070e+00,1.705062922102603906e+00,3.878652778726622063e+00,-4.668438167124839833e-01,-1.387063067749603268e-05
-2.774973378714705799e-02,-1.411210422483591409e-01,-4.114054941841627060e-03,9.289951019723562409e-01,1.431796711663629651e+00,1.705062922102603906e+00,3.923493060049297654e+00,-5.017839353890964915e-01,-1.387063067749603268e-05
-2.888225290282817048e-02,-1.418899294670132871e-01,-4.425304160441778482e-03,9.329354984764807179e-01,1.431169037884211681e+00,1.705062922102603906e+00,3.883195410273502013e+00,-6.327941227326481233e-01,-1.387063067749603268e-05
-2.999921668538583358e-02,-1.425806721750114137e-01,-4.741302361545507264e-03,9.368410242150818634e-01,1.430436751808223939e+00,1.705062922102603906e+00,3.846777375898202234e+00,-7.640061277525573846e-01,-1.387063067749603268e-05
-3.124391497029103959e-02,-1.430601074204812528e-01,-5.095651586520841964e-03,9.407814207192062295e-01,1.429495241139096873e+00,1.705097709644343151e+00,3.901588560083395940e+00,-9.548153780729298212e-01,8.094900063386685149e-03
-3.230772215557171229e-02,-1.433131447403744596e-01,-5.454704241870909041e-03,9.446520756922842654e-01,1.428309635111307152e+00,1.705132663633650347e+00,3.822546771167683932e+00,-1.195368177660472542e+00,1.614888176627475580e-02
-3.353204111980299940e-02,-1.433026036840629180e-01,-5.753701641022919595e-03,9.485576014308854109e-01,1.426845062959331889e+00,1.705132663633650347e+00,3.867219217859162672e+00,-1.497905358088075678e+00,5.541316955659665025e-04
-3.470145916440049022e-02,-1.431590801051144946e-01,-6.087514595723117136e-03,9.524631271694866674e-01,1.425101524683170640e+00,1.705132663633650347e+00,3.847944589469713961e+00,-1.731305766966767523e+00,1.317709914362122961e-05
-3.580590031786193977e-02,-1.429862554569591437e-01,-6.427079178557781880e-03,9.562989113770414829e-01,1.423218503344916286e+00,1.705132663633650347e+00,3.810295536621786106e+00,-1.889005821859957024e+00,0.000000000000000000e+00
-3.696926786257152125e-02,-1.429209991686506143e-01,-6.771353644067557020e-03,9.601695663501194078e-01,1.421300611241139045e+00,1.705132663633650347e+00,3.794341537216530114e+00,-1.906849694695021746e+00,0.000000000000000000e+00
