# u_torque_1, u_torque_2, u_torque_3, y_angle_1, y_angle_2, y_angle_3, y_vel_1, y_vel_2, y_vel_3
-2.024678087995266662e-01,1.828991231106967263e-01,-4.321175229774090049e-02,6.466624508854517117e-01,1.018299132477335389e+00,1.734145140548973618e+00,-3.125746623173730927e-03,3.274179016179751933e+00,-3.622315201428089049e-02
-2.031043863708918706e-01,1.808864966853764022e-01,-4.358526505714471061e-02,6.466624508854517117e-01,1.021751338264134557e+00,1.734110269783450287e+00,-1.185938922925910868e-04,3.410967708263548115e+00,-3.238029378508061606e-02
-2.036713441392606350e-01,1.787383617322343687e-01,-4.402474475899698786e-02,6.466275801199283801e-01,1.025343027113026828e+00,1.734110269783450287e+00,-4.358221512022640576e-02,3.546025345638793347e+00,-1.126988742546552666e-03
-2.043559367733159826e-01,1.763863631012496380e-01,-4.439733260129870296e-02,6.466275801199283801e-01,1.029109069789535091e+00,1.734110269783450287e+00,-1.513285806914817146e-03,3.723056204975675243e+00,-5.062780197286051768e-05
-2.048809940223782489e-01,1.740814436066592530e-01,-4.490048703958283982e-02,6.465578385888820501e-01,1.032944853997090018e+00,1.734145140548973618e+00,-6.684534336098887919e-02,3.764126448880206866e+00,6.098430836821294027e-02
-2.054188387295765028e-01,1.716960404588261380e-01,-4.521897685561315772e-02,6.464532262923122774e-01,1.036815508970168054e+00,1.734179928090712863e+00,-9.460047534665844138e-02,3.821010598820151927e+00,3.322432166180624979e-02
-2.058947233698877333e-01,1.692182501704265485e-01,-4.555338294072728417e-02,6.463137432302195062e-01,1.040755905474292309e+00,1.734214882080020059e+00,-1.589699111317142977e-01,3.881026737167076135e+00,1.702065090435538053e-02
-2.063942078928508728e-01,1.669423674258918577e-01,-4.603075745805845082e-02,6.461393894026032925e-01,1.044591689681847235e+00,1.734284623611066500e+00,-1.738329854341851555e-01,3.771774021104244312e+00,6.736687907446273216e-02
-2.068010795881339847e-01,1.643831178571905915e-01,-4.633923820749660111e-02,6.458952940439407486e-01,1.048497215420448381e+00,1.734319411152805746e+00,-2.269408561721819595e-01,3.856347417534140565e+00,4.588959453342787015e-02
-2.071776083009466696e-01,1.619381745711825915e-01,-4.657663861917051701e-02,6.456163279197548732e-01,1.052367870393526417e+00,1.734319411152805746e+00,-2.833513240744905959e-01,3.810192893954772675e+00,1.575703644963549494e-03
-2.074943432784156772e-01,1.593931088150752906e-01,-4.689134967488827604e-02,6.452676202645226677e-01,1.056238525366604231e+00,1.734319411152805746e+00,-3.440457362615438885e-01,3.823242383296161506e+00,4.507954970186210664e-05
-2.078079508075171278e-01,1.566730637751408972e-01,-4.720053453173556068e-02,6.448840418437672417e-01,1.060213792636251817e+00,1.734319411152805746e+00,-3.796779994089634069e-01,3.897059105635659382e+00,0.000000000000000000e+00
-2.080146826832888485e-01,1.538296031749333270e-01,-4.750107206386466885e-02,6.444307218919652636e-01,1.064258801436945845e+00,1.734319411152805746e+00,-4.655198650143169137e-01,4.004446221872367317e+00,0.000000000000000000e+00
