# u_torque_1, u_torque_2, u_torque_3, y_angle_1, y_angle_2, y_angle_3, y_vel_1, y_vel_2, y_vel_3
-5.303053488967984785e-02,6.868310216388422151e-02,1.069518335418729454e-01,7.557730762076226849e-01,1.062585004691831259e+00,1.536985832280659325e+00,-2.524158645339313889e+00,5.994251997460289694e+00,2.289149936833565491e+00
-4.548554579343364740e-02,6.122210480840808988e-02,1.087949539828185486e-01,7.506819444412319298e-01,1.074998997218099106e+00,1.539461573409024453e+00,-2.542792450591461417e+00,6.129099494780771096e+00,2.522772969334631465e+00
-4.211128984628921545e-02,6.260221953889340274e-02,1.104790805964028511e-01,7.506819444412319298e-01,1.074998997218099106e+00,1.542251234650882319e+00,-2.447783485171351359e+00,6.107879510438802839e+00,2.785936283989560280e+00
-3.667769476558628561e-02,5.951116615046190411e-02,1.123371781776731221e-01,7.482409908546061583e-01,1.081275735012279693e+00,1.545215332944140485e+00,-2.444258264384665313e+00,6.158859626430872147e+00,2.946100456422607650e+00
-3.117429195441741643e-02,5.649445476743852890e-02,1.140947063118961935e-01,7.457651665024572774e-01,1.087517602040937170e+00,1.548353701841230778e+00,-2.468284277312689845e+00,6.154156095568133367e+00,3.139634592139573854e+00
-2.569789198439324795e-02,5.347681530595464056e-02,1.156868238092370049e-01,7.432893421503081743e-01,1.093759469069594203e+00,1.551736082873199640e+00,-2.451690148301667538e+00,6.144131790777507263e+00,3.380566753476145880e+00
-2.047562630655509058e-02,5.039847881945483388e-02,1.174651966330225450e-01,7.409530008602521756e-01,1.100036206863774790e+00,1.555292900956568358e+00,-2.279683231396175014e+00,6.163650542266879917e+00,3.509486636776598889e+00
-1.515900895115716331e-02,4.733147734298447096e-02,1.188793860083034587e-01,7.386864011012425069e-01,1.106312944657955377e+00,1.559093897622384040e+00,-2.245718218056190540e+00,6.164596519279084141e+00,3.783193711341026777e+00
-9.752672160923542277e-03,4.425764737687586103e-02,1.202038899852711229e-01,7.363849305767097286e-01,1.112589682452135964e+00,1.563138906423078067e+00,-2.262244380976893066e+00,6.164642292360320575e+00,4.063483093693459836e+00
-4.276993625936382354e-03,4.124488691764469084e-02,1.217333510577409128e-01,7.340485892866535078e-01,1.118831549480792997e+00,1.567358185827604444e+00,-2.309664599605582236e+00,6.119811026947584942e+00,4.219459029193437516e+00
8.994968197555868253e-04,3.809259870970436307e-02,1.229355554658369404e-01,7.318517310586905023e-01,1.125108287274973584e+00,1.571856597803884537e+00,-2.159721694918782742e+00,6.181395240092600218e+00,4.489991116395785298e+00
5.987018823087732720e-03,3.504034854653351183e-02,1.244390609509462564e-01,7.297943558928201568e-01,1.131350154303631061e+00,1.576494326394689338e+00,-2.023433732602443857e+00,6.158165401365463865e+00,4.594721313326219914e+00
1.127388268640186139e-02,3.182230591451311319e-02,1.257011702995227409e-01,7.277021099614265909e-01,1.137696633628857867e+00,1.581306492036894440e+00,-2.050434995810791250e+00,6.217834080413916276e+00,4.795174119625120746e+00
1.660954850605597319e-02,2.850130250292542272e-02,1.271678073879161097e-01,7.255749932645099154e-01,1.144112854485131336e+00,1.586223353199453179e+00,-2.091001042290196565e+00,6.321502480565987625e+00,4.884768684360270896e+00
2.167018584816103946e-02,2.506506522828054820e-02,1.282977038025544247e-01,7.235873596296860111e-01,1.150668558403497688e+00,1.591349272507583068e+00,-1.961608170483640778e+00,6.432151275606509344e+00,5.106984510192163818e+00
2.658813219815324772e-02,2.166143176216908661e-02,1.296978723059894201e-01,7.201002830773635122e-01,1.163919449302323050e+00,1.596579887336066816e+00,-1.795425531399628349e+00,6.474701515804330398e+00,5.183332622630305586e+00
3.259336823508560826e-02,1.353069425958155700e-02,1.305760335976193232e-01,7.184962278632951449e-01,1.170579765517258952e+00,1.602089468288736551e+00,-1.595822301229723239e+00,6.521763872161540299e+00,5.465303125420851060e+00
3.736935348929928263e-02,1.006458535904959650e-02,1.315886143876865422e-01,7.169967849457965503e-01,1.177274952497718186e+00,1.607773486292806142e+00,-1.557800128416571228e+00,6.529995397937099710e+00,5.649724950314237049e+00
4.200935591144966397e-02,6.541415920698442042e-03,1.325038690563299371e-01,7.156019543248675063e-01,1.184005010243700751e+00,1.613666562442447105e+00,-1.464340512443137010e+00,6.558405223690747299e+00,5.842718131434780915e+00
4.642062321775249772e-02,2.955495150874600831e-03,1.332334368208162312e-01,7.144512190626011172e-01,1.190735067989683094e+00,1.619769029632795565e+00,-1.335139055339930714e+00,6.636639048369494809e+00,6.087275382098916943e+00
5.050894469126723796e-02,-4.707333121824648636e-04,1.339996559766053752e-01,7.135794499245204925e-01,1.197395384204618995e+00,1.626045767426976152e+00,-1.104749960381323337e+00,6.590621844033833554e+00,6.279896830317304612e+00
5.432844451924278423e-02,-3.822948566182587417e-03,1.347554800174147194e-01,7.129517761451024116e-01,1.203985958888508678e+00,1.632531729814296062e+00,-8.002757463796078552e-01,6.505586555602376642e+00,6.434250595559547925e+00
5.797274474132443900e-02,-7.200315143955214603e-03,1.353344536015681221e-01,7.126379392553934267e-01,1.210541662806875030e+00,1.639191962805447877e+00,-5.720130191038604872e-01,6.455846473992875367e+00,6.641180986384840779e+00
6.139238013838019259e-02,-1.062141225952854297e-02,1.359161912767109792e-01,7.125333269588237650e-01,1.217097366725241159e+00,1.646026632847999993e+00,-2.876942185396145768e-01,6.435134154733705536e+00,6.809712616774087124e+00
6.472530647869943754e-02,-1.406718754849577147e-02,1.364258399856261572e-01,7.126029852660861197e-01,1.223618199878084400e+00,1.653035739941952187e+00,-5.820532751197661503e-02,6.448374365246908546e+00,6.976141459552625435e+00
6.790413721426451221e-02,-1.743537596134983950e-02,1.368471750523463648e-01,7.129169053795791910e-01,1.230104162265404089e+00,1.660253905181475753e+00,1.269481731496469590e-01,6.392874504248577949e+00,7.138790555471544508e+00
7.095032385796418151e-02,-2.080935545287471156e-02,1.370419502674526113e-01,7.134050960969042787e-01,1.236520383121677558e+00,1.667681461461706816e+00,4.858930473534232020e-01,6.301324180587901225e+00,7.365562883480994749e+00
7.389801687894141657e-02,-2.409311831883090976e-02,1.372820957510160200e-01,7.139978158870151637e-01,1.242866862446904586e+00,1.675283288345769783e+00,6.248524931382477554e-01,6.246164150041168206e+00,7.528134303868122323e+00
7.676762507060526375e-02,-2.728681808083512420e-02,1.374776701252453381e-01,7.146604436557405515e-01,1.249143600241084950e+00,1.683024598291925855e+00,6.867911008970724041e-01,6.168589873851136218e+00,7.679031507945533797e+00
7.979338847463049444e-02,-3.051306044611650295e-02,1.374449643485849970e-01,7.153578589662049625e-01,1.255350596504219096e+00,1.690975132831221250e+00,6.970345616524032950e-01,6.099995443961714336e+00,7.891531650519373109e+00
8.293480787173279634e-02,-3.381481294783153513e-02,1.374054808120163951e-01,7.160203202873621775e-01,1.261557592767353242e+00,1.699099937974348551e+00,6.119923379056073642e-01,6.089288010610221846e+00,8.062479544772639173e+00
8.594364227451654903e-02,-3.705683734567077198e-02,1.372359509159091773e-01,7.166829480560875654e-01,1.267694847499440725e+00,1.707399180168875930e+00,6.508814251361029202e-01,6.049652683449276758e+00,8.252325479792460783e+00
8.922593768384379231e-02,-4.030338539027546185e-02,1.370203207828850633e-01,7.172059263151518982e-01,1.273832102231528429e+00,1.715872859414803608e+00,5.185771079503409542e-01,5.996132161448624487e+00,8.417954680712441018e+00
9.262724654122052315e-02,-4.363327822914078724e-02,1.365449336191494334e-01,7.175895879596914106e-01,1.279969356963615912e+00,1.724590550795610078e+00,3.683255817309667446e-01,6.007163474026437910e+00,8.647661340641713323e+00
9.606306966620821453e-02,-4.693109850777522907e-02,1.360074255487843942e-01,7.178685540838771750e-01,1.286071740930180285e+00,1.733517466769555648e+00,2.559908115315957522e-01,5.991360664495566368e+00,8.850185725632300660e+00
9.955566918622953121e-02,-5.025787522946970759e-02,1.353881708506460280e-01,7.180428246877093024e-01,1.292174124896744658e+00,1.742618653347333346e+00,1.583693128233787106e-01,5.984971158473977759e+00,9.042943106031327005e+00
1.031859092915717452e-01,-5.378292682951321679e-02,1.348938395595969120e-01,7.180777786770164983e-01,1.298381121159878804e+00,1.751859489434771877e+00,2.134967473880189370e-02,6.083718952393207147e+00,9.130120713370923013e+00
1.068268474735604157e-01,-5.727602121014476605e-02,1.342587627242111115e-01,7.180429079114932778e-01,1.304622988188536059e+00,1.761204854594996316e+00,-8.466563612390191895e-02,6.105831511819271640e+00,9.252203762810438548e+00
1.104485883827927839e-01,-6.070803080818393954e-02,1.334628580121336450e-01,7.179382956149236161e-01,1.310829984451670205e+00,1.770689702817313416e+00,-1.307965796311182372e-01,6.070647270042734966e+00,9.409369798422545728e+00
1.139976026913895601e-01,-6.412256049340614439e-02,1.325246588838159267e-01,7.178336833183539545e-01,1.316967239183757687e+00,1.780348821643462642e+00,-1.202576744423567434e-01,6.045834098823762659e+00,9.582534912989608245e+00
1.174264895915863721e-01,-6.750537697404210280e-02,1.315704858255058729e-01,7.177639417873075134e-01,1.323069623150322061e+00,1.790147589979273146e+00,-3.449695202646650694e-02,5.992409284174784467e+00,9.716079264557938799e+00
1.208677677638860803e-01,-7.090130065865228592e-02,1.303653178193875939e-01,7.177290710217842928e-01,1.329137136351363324e+00,1.800120628918915333e+00,-6.986636672254751927e-03,5.954860099867734569e+00,9.917749218698791225e+00
1.240837685348177566e-01,-7.438776466451546554e-02,1.292815391570811268e-01,7.178336000945699791e-01,1.335239520317927697e+00,1.810233150920650846e+00,1.153641159393361260e-01,5.961474310106299690e+00,1.000894722834025963e+01
1.272037395143944816e-01,-7.788237844262901888e-02,1.279653335501518552e-01,7.180428246877093024e-01,1.341307033518968739e+00,1.820485155984478798e+00,2.301158435342608444e-01,5.978361109424616515e+00,1.016548631144574166e+01
1.301939763941967199e-01,-8.123251322904459504e-02,1.267376494916545304e-01,7.183915323429415078e-01,1.347304805188963561e+00,1.830841690121092658e+00,3.421870717507593529e-01,5.876988992181204630e+00,1.023454332686825730e+01
1.329406669704987498e-01,-8.462859403541202197e-02,1.251119261584083264e-01,7.189146770495739025e-01,1.353267706093435052e+00,1.841372661309106373e+00,5.364709150558446549e-01,5.823068302485506997e+00,1.044084260399772468e+01
1.356415751637117528e-01,-8.806456739275517198e-02,1.235913884483763880e-01,7.195423508289919834e-01,1.359195736232383211e+00,1.852043115559213415e+00,6.701740853454322133e-01,5.810247678550296335e+00,1.054043997404595068e+01
1.381661891220862248e-01,-9.149182018176454934e-02,1.218050572709988982e-01,7.203442952122420806e-01,1.365088895605808261e+00,1.862888006860720536e+00,8.170599030309120270e-01,5.789623437795928140e+00,1.070902569989483943e+01
1.403525335972900245e-01,-9.485352738719020349e-02,1.200767922422081302e-01,7.213904181779388081e-01,1.370912313448186870e+00,1.873837427235013120e+00,1.082222669098001910e+00,5.728496955463270979e+00,1.080109617220592355e+01
1.423387650080155664e-01,-9.825280011929320156e-02,1.182087871567405607e-01,7.226807197260822768e-01,1.376700860525042147e+00,1.884856589140352146e+00,1.326552441419026840e+00,5.705294164465955831e+00,1.092321112409599415e+01
1.438258929303528610e-01,-1.014884826815947161e-01,1.163750727239374755e-01,7.243545164711970852e-01,1.382384795305327874e+00,1.895945492576737834e+00,1.736634169741527511e+00,5.567410386090170249e+00,1.098732603380812023e+01
1.452262041201393683e-01,-1.047193247531113119e-01,1.143859997173348325e-01,7.263072793404976579e-01,1.387964117789043827e+00,1.918437053115433777e+00,1.982853815492361615e+00,5.473334914114655447e+00,1.107855109117940984e+01
1.464725350561752182e-01,-1.077990392261138908e-01,1.065589668189316219e-01,7.285040543446767991e-01,1.393369086445143790e+00,1.929839876665312648e+00,2.159389493314056718e+00,5.325347074821848992e+00,1.118643408246283855e+01
1.475690375357083528e-01,-1.107677316393819167e-01,1.043691421553759602e-01,7.308404788585168843e-01,1.398634572039150648e+00,1.941347229287976761e+00,2.344633153075084131e+00,5.138898057254946750e+00,1.124767777162471916e+01
