# u_torque_1, u_torque_2, u_torque_3, y_angle_1, y_angle_2, y_angle_3, y_vel_1, y_vel_2, y_vel_3
-2.330354205246059490e-02,-3.537469620180848373e-02,8.014503748970500108e-02,8.559915730975874437e-01,9.870549265685257811e-01,1.846219780940618893e+00,4.716005414438710908e+00,1.183119717240709745e+00,2.523640577283509323e+00
-2.348179687777550081e-02,-3.588301176646400970e-02,7.959515009416817666e-02,8.607689511980533004e-01,9.882754033618387224e-01,1.848869959120384099e+00,4.744719007004196243e+00,1.199910809207352491e+00,2.685775766335828152e+00
-2.361917669808834622e-02,-3.641130082667881629e-02,7.886512206551529736e-02,8.655461628509510952e-01,9.895307509206747731e-01,1.851729361893288406e+00,4.731740951410795759e+00,1.215011764825942642e+00,2.868789722215447924e+00
-2.384018507255786928e-02,-3.677700823307999273e-02,7.830291193427203755e-02,8.703583284931561970e-01,9.906814861829411623e-01,1.854693293738978621e+00,4.773146864577722859e+00,1.143449713503071230e+00,2.924509432710016732e+00
-2.407699722311168467e-02,-3.701275279742854973e-02,7.746718875537113302e-02,8.752054481246684947e-01,9.917276091486378897e-01,1.857761921105022251e+00,4.800779935013431476e+00,1.017787347817228127e+00,3.073199125915104801e+00
-2.424287825703300148e-02,-3.702063718499906675e-02,7.654968244284815482e-02,8.800176137668734855e-01,9.925645075211954049e-01,1.860970031533158986e+00,4.783499209783872885e+00,8.132995750542427738e-01,3.209945512575335336e+00
-2.526745441366742145e-02,-3.704140465083347739e-02,7.583015019509772858e-02,8.855809572840490640e-01,9.932967935971830364e-01,1.864247883492342162e+00,5.021692615093173551e+00,6.974444387889232599e-01,3.211962302275843228e+00
-2.524645343551102858e-02,-3.706763159780415706e-02,7.499347439090189860e-02,8.904280769155614728e-01,9.939593381421243379e-01,1.867525735451525337e+00,4.784676132796857217e+00,6.383319720306385170e-01,3.253909170039192666e+00
-2.542299165591107094e-02,-3.717962638976277101e-02,7.393312616362546219e-02,8.952402425577664635e-01,9.946218826870656393e-01,1.870908282931062150e+00,4.770216693847102896e+00,6.673944109576620543e-01,3.362550884820679986e+00
-2.566069807022360039e-02,-3.730603266080948638e-02,7.319620909566076916e-02,9.000871957417106994e-01,9.953192979975300503e-01,1.874255876421291767e+00,4.785816298638548183e+00,6.888085841291142764e-01,3.298931156623743366e+00
-2.595204552200487680e-02,-3.759807209983378334e-02,7.219407052436634109e-02,9.049691445268541745e-01,9.961213256045642339e-01,1.877638257453260628e+00,4.823447319666595234e+00,8.049196335304336092e-01,3.339633135283787801e+00
-2.611471632418217725e-02,-3.802793974986681813e-02,7.093081964186179200e-02,9.097813101690592763e-01,9.970977070392146313e-01,1.881160287994890323e+00,4.784280819822550157e+00,9.390458580556847457e-01,3.456088176325908812e+00
-2.630244715233452310e-02,-3.853765944703581997e-02,6.983621723089436517e-02,9.146283465767875986e-01,9.981787007704345793e-01,1.884682152088952067e+00,4.737995912314812763e+00,1.081972304214273040e+00,3.468080723609671789e+00
-2.659019867428990408e-02,-3.899628944895607713e-02,6.857166989364273102e-02,9.194753829845158100e-01,9.993294360327009684e-01,1.888238970172321007e+00,4.787115283201496041e+00,1.127108723501913268e+00,3.535847770379179966e+00
-2.689805152903703561e-02,-3.946300945258392201e-02,6.700771588932132039e-02,9.243572901577673528e-01,1.000515042060490689e+00,1.891970225307090026e+00,4.823488238027093367e+00,1.157986134453087068e+00,3.688979533058736493e+00
-2.710680967923648904e-02,-3.978161824625945503e-02,6.573976876310143325e-02,9.292043265654956752e-01,1.001630906557233747e+00,1.895666526452552070e+00,4.783377148233911136e+00,1.091573554769236010e+00,3.681856964205842075e+00
-2.736901736983229569e-02,-4.005353746512988616e-02,6.422518234887635014e-02,9.340513629732238865e-01,1.002677029522930585e+00,1.899467356670799578e+00,4.791094767142869415e+00,1.029234085783831576e+00,3.750682340096043621e+00
-2.769878374103752761e-02,-4.032743888306018765e-02,6.279562849264996860e-02,9.389332701464753184e-01,1.003688281723104092e+00,1.903268353336615037e+00,4.832518712129677319e+00,9.951712844975707517e-01,3.755470481805915028e+00
-2.798595788735015744e-02,-4.071123587631528262e-02,6.133220795986198126e-02,9.438151773197268612e-01,1.004734404688800709e+00,1.907069183554862324e+00,4.825059780482854777e+00,1.048420635668478207e+00,3.755524577265557884e+00
-2.838780422691357386e-02,-4.123063002995505655e-02,5.965343303100268529e-02,9.487319552585016247e-01,1.005885139951067320e+00,1.910939921751724668e+00,4.897750901142874369e+00,1.165805702497525242e+00,3.823850610451369203e+00
-2.867825281526394793e-02,-4.182128531956518652e-02,5.808899747506870992e-02,9.536487331972762771e-01,1.007140487509903259e+00,1.914810493501018396e+00,4.852083930231819053e+00,1.282931388532903449e+00,3.812911537567562181e+00
-2.896741955421944237e-02,-4.237288608055896078e-02,5.620656107249889788e-02,9.585306403705278200e-01,1.008465576599785862e+00,1.918785760770666204e+00,4.825736667259915791e+00,1.313832379556229002e+00,3.912463828066086613e+00
-2.924332884446346342e-02,-4.284297187861745709e-02,5.443095316233378944e-02,9.634125475437793629e-01,1.009755794924145356e+00,1.922795982029620987e+00,4.778502315082304719e+00,1.289217558355944426e+00,3.927340772999234897e+00
