# u_torque_1, u_torque_2, u_torque_3, y_angle_1, y_angle_2, y_angle_3, y_vel_1, y_vel_2, y_vel_3
-1.996908614708413354e-01,-3.538118665149687231e-02,-8.654141391966673272e-03,1.372167702618915186e+00,1.162629272589855711e+00,2.118893229977590220e+00,-4.395464155391717753e+00,-1.455583983296433563e-02,3.961337688789777989e+00
-1.955366488681440917e-01,-3.446206522047336185e-02,-1.086265807052744052e-02,1.367599632335372739e+00,1.162559531058809270e+00,2.122868497247237585e+00,-4.520718031004109072e+00,-8.485982495338685594e-02,3.931079601498353782e+00
-1.911549256452222956e-01,-3.362263493241033491e-02,-1.284935622155165824e-02,1.362857208224214078e+00,1.162489789527762829e+00,2.126739152220315621e+00,-4.713943545188501005e+00,-6.895367922396827831e-02,3.792038318992531742e+00
-1.868117767835866805e-01,-3.272667327131258824e-02,-1.478496774131302094e-02,1.358045042582008977e+00,1.162420047996716388e+00,2.130435453365777665e+00,-4.792967302284331765e+00,-1.032488135740772250e-01,3.647192177548178371e+00
-1.822254229727564567e-01,-3.190769191789900178e-02,-1.673872501583633515e-02,1.353058523112187883e+00,1.162350306465669947e+00,2.134027142214669936e+00,-4.956110886186904096e+00,-5.442419358929118794e-02,3.513911367962720078e+00
-1.775746084359382249e-01,-3.095715728725369209e-02,-1.849806370972417041e-02,1.347967391345797017e+00,1.162245694169100396e+00,2.137409606470422663e+00,-5.080665682013149720e+00,-1.067962273698468273e-01,3.312268461551689303e+00
-1.728741415753654587e-01,-3.008812141694412051e-02,-2.021539798527309528e-02,1.342771647282836378e+00,1.162175952638053955e+00,2.140582846133036288e+00,-5.152075849930102258e+00,-9.632598180293895640e-02,3.118684391564284120e+00
-1.680205722476723618e-01,-2.929911757876358519e-02,-2.231890342549355810e-02,1.337471290923306189e+00,1.162141081872530624e+00,2.143721215030126359e+00,-5.274054176108001535e+00,-2.467585197526544344e-02,3.103884428631395576e+00
-1.631711747416248748e-01,-2.844637004856134105e-02,-2.400445512561577566e-02,1.332101193032729558e+00,1.162106211107007514e+00,2.146650359334077329e+00,-5.317495604326851755e+00,-1.140928726377436059e-02,2.909632487776868892e+00
-1.583390750575413841e-01,-2.754683058900129350e-02,-2.567490316451213200e-02,1.326731095142152927e+00,1.162071340341484182e+00,2.149405149810411864e+00,-5.325349848947984022e+00,-3.977333993618600155e-02,2.728885686481485440e+00
-1.534659876889365449e-01,-2.673294697566783520e-02,-2.769877068968076839e-02,1.321326126486053187e+00,1.162071340341484182e+00,2.152125069521223732e+00,-5.328298051498485677e+00,-1.930098258773572766e-03,2.711296339719352577e+00
-1.484114470418574361e-01,-2.587829185975884516e-02,-2.938203264266234932e-02,1.315851416298906784e+00,1.162071340341484182e+00,2.154705506169942275e+00,-5.439211082053414081e+00,-9.917500934409663460e-05,2.536278108893775585e+00
-1.435195883311624621e-01,-2.501733725152777491e-02,-3.082507999750812300e-02,1.310411576877283490e+00,1.162071340341484182e+00,2.157041847459998163e+00,-5.397954971697803472e+00,-1.179003607587162854e-05,2.280464147903317862e+00
-1.384028360123182033e-01,-2.415194392265354248e-02,-3.227434156966470236e-02,1.304867125159090868e+00,1.162071340341484182e+00,2.159134093391391840e+00,-5.480839618842714422e+00,-1.179003607587162854e-05,2.067364794084209034e+00
-1.333469520728369218e-01,-2.328240522238958152e-02,-3.399603105170834888e-02,1.299322673440898024e+00,1.162071340341484182e+00,2.161156597791738854e+00,-5.486122942067772179e+00,-1.179003607587162854e-05,1.986805558172380026e+00
-1.283429463268213611e-01,-2.240892841817552703e-02,-3.546074842005466493e-02,1.293778221722705180e+00,1.162071340341484182e+00,2.163004748364469876e+00,-5.423134327566661916e+00,-1.179003607587162854e-05,1.800557664750302100e+00
-1.233013220383907954e-01,-2.153172203750100197e-02,-3.672350813182612833e-02,1.288268640770035667e+00,1.162071340341484182e+00,2.164608803578538243e+00,-5.409615317376839982e+00,-1.179003607587162854e-05,1.553892771754720847e+00
-1.182945142913569836e-01,-2.065099582444023668e-02,-3.781528342835997758e-02,1.282793930582889264e+00,1.162071340341484182e+00,2.165933892668420846e+00,-5.373487872714234115e+00,-1.179003607587162854e-05,1.271354960169465365e+00
-1.133167795165223452e-01,-1.976696069583690207e-02,-3.878236042365708347e-02,1.277388961926789523e+00,1.162071340341484182e+00,2.166945144868594131e+00,-5.348757925279326031e+00,-1.179003607587162854e-05,9.851553020853509590e-01
-1.085073606119312251e-01,-1.887982869715281592e-02,-3.985235325472204909e-02,1.272088605567259334e+00,1.162071340341484182e+00,2.167782043241151868e+00,-5.224453494336810166e+00,-1.179003607587162854e-05,7.745908060225547009e-01
-1.036372464058612219e-01,-1.788855041872423196e-02,-4.106345912482556315e-02,1.266823119973252254e+00,1.162036469575960851e+00,2.168479458551616279e+00,-5.174175232257022472e+00,-7.686479343087813942e-02,6.504132913507374436e-01
-9.887148818365745773e-02,-1.706900286297164532e-02,-4.225626112774260451e-02,1.261662246675815169e+00,1.162036469575960851e+00,2.169037390799987808e+00,-5.089056026509966912e+00,-3.727038463043184317e-03,5.332952341622320125e-01
-9.410044579302688506e-02,-1.617740292879818118e-02,-4.338981255686755190e-02,1.256536244143900971e+00,1.162036469575960851e+00,2.169490710751789564e+00,-5.023341833080728236e+00,-1.872535141461964471e-04,3.944363504498192285e-01
-8.947778069511580501e-02,-1.528019690904956589e-02,-4.455676182822414927e-02,1.251584595439602987e+00,1.162036469575960851e+00,2.169804547641498882e+00,-4.935364583882573264e+00,-1.525769374524563544e-05,2.892789380945185451e-01
-8.487747123188524312e-02,-1.438080107974469037e-02,-4.560900813575911178e-02,1.246667817500828335e+00,1.162036469575960851e+00,2.169944030703591764e+00,-4.839974176118832183e+00,-1.179003607587162854e-05,1.529001231472420230e-01
