# u_torque_1, u_torque_2, u_torque_3, y_angle_1, y_angle_2, y_angle_3, y_vel_1, y_vel_2, y_vel_3
-1.855006382561068951e-02,7.709287348313248467e-02,-7.842881846398813694e-02,8.318262158137765816e-01,1.115239860631900948e+00,2.159413101127469758e+00,-4.683925419807797752e+00,3.507312415417901619e+00,-5.748752237441618479e-02
-1.172166228844888705e-02,7.615036689182180796e-02,-7.948355616174898608e-02,8.271884039991875825e-01,1.118796678715269888e+00,2.159308488830899986e+00,-4.543990175154811517e+00,3.468046740564512120e+00,-9.101214319039022116e-02
-4.769465366009128030e-03,7.519105014335218662e-02,-8.048230223703770059e-02,8.226900752466915767e-01,1.122388367564162159e+00,2.159169005768807104e+00,-4.543990175154811517e+00,3.468046740564512120e+00,-1.442968644695251101e-01
1.838797659836014908e-03,7.385407856646693248e-02,-8.157349558710109971e-02,8.182963587907652325e-01,1.126154410240670423e+00,2.159029522706714221e+00,-4.271350445621017400e+00,3.715790075095268374e+00,-1.517925532876439609e-01
8.599242548369117473e-03,7.269836377510335845e-02,-8.261943791022002825e-02,8.140072546314085500e-01,1.129955323682702018e+00,2.158855168879098230e+00,-4.223929533460793806e+00,3.749486691731644061e+00,-1.735833140819902365e-01
1.528402354729472244e-02,7.130621172369622229e-02,-8.365531034683287848e-02,8.097878920030983085e-01,1.133895720186826273e+00,2.158645944285958684e+00,-4.147731917365502952e+00,3.913087312915040528e+00,-1.920312528830599441e-01
2.180521452792670914e-02,6.990591826533550102e-02,-8.453593708466677903e-02,8.057080124368809493e-01,1.137975599753043632e+00,2.158366978161772920e+00,-4.012374674367624294e+00,3.977783402052550876e+00,-2.709593026272156258e-01
2.841235958818747603e-02,6.835763965425806221e-02,-8.538989734479889016e-02,8.016630036361869216e-01,1.142160091615830542e+00,2.158018270506540492e+00,-3.985464263790214900e+00,4.107317754292016510e+00,-3.460306235114935514e-01
3.481360653989584719e-02,6.658153746730920142e-02,-8.613908143278037333e-02,7.977574778975857761e-01,1.146553808071756997e+00,2.157599821320261846e+00,-3.860591830521455048e+00,4.307792060068468487e+00,-4.562528966586819057e-01
4.121564588127145379e-02,6.491861559581051100e-02,-8.676669492457125821e-02,7.939216936900309607e-01,1.150982395293206562e+00,2.157041889071890317e+00,-3.790408519887926708e+00,4.359744507271030578e+00,-5.925408589750208455e-01
4.751327850868187347e-02,6.309156674112351149e-02,-8.742385032323451988e-02,7.901556510135225864e-01,1.155550465576749009e+00,2.156379344526949016e+00,-3.671468555359931329e+00,4.466750874695641471e+00,-6.880089422705566449e-01
5.369834294183476603e-02,6.147750280991760158e-02,-8.780936679640219400e-02,7.865639621646305368e-01,1.160048794329245236e+00,2.155507575388868613e+00,-3.581052155757139754e+00,4.397656408570296271e+00,-8.670475753980060318e-01
