# u_torque_1, u_torque_2, u_torque_3, y_angle_1, y_angle_2, y_angle_3, y_vel_1, y_vel_2, y_vel_3
-1.528187255898000585e-01,2.659329759791576042e-02,-2.092836170670521814e-02,8.205280877842516807e-01,1.094526625911105278e+00,1.977438388380730494e+00,8.117945422725812321e+00,2.387397694516872004e+00,3.856035328343897163e-04
-1.583243531198187948e-01,2.564753866910494257e-02,-2.081344974706018577e-02,8.287575884477327293e-01,1.097037321028777601e+00,1.977438388380730494e+00,8.112076065354628440e+00,2.451388462084432618e+00,9.015909940372423021e-06
-1.638175956824031720e-01,2.486827617789776068e-02,-2.069935087645047300e-02,8.369521351219065819e-01,1.099478274615403262e+00,1.977438388380730494e+00,8.102845854170288575e+00,2.389644736686626469e+00,0.000000000000000000e+00
-1.692094501098093950e-01,2.401377772867832258e-02,-2.046835180976216972e-02,8.450771067126020553e-01,1.101919228202028922e+00,1.977403600838991471e+00,8.028891812587083621e+00,2.394957881767640906e+00,-4.981914420436249491e-02
-1.745246063472114806e-01,2.298111101875058640e-02,-2.044588635179073188e-02,8.530973827829437806e-01,1.104429923319701246e+00,1.977403600838991471e+00,7.942945223720114356e+00,2.521322101365765622e+00,-4.143157383368064467e-03
-1.797689545148695722e-01,2.198416091783690976e-02,-2.034023941083369993e-02,8.610129633329318688e-01,1.107010359968419788e+00,1.977403600838991471e+00,7.850842848958472509e+00,2.554736450667853376e+00,-1.504963428508319435e-04
-1.851415309375788742e-01,2.115616309587011259e-02,-2.018698019942998315e-02,8.689634978722271530e-01,1.109521055086092112e+00,1.977368730073468139e+00,7.839849680615023964e+00,2.459490297463157393e+00,-1.135657886719987873e-02
-1.904735628095398092e-01,2.029251896686731782e-02,-2.009573721633026860e-02,8.768792448697833031e-01,1.111996879438241104e+00,1.977368730073468139e+00,7.796936029893450915e+00,2.415662572179939183e+00,-4.001676950457605758e-04
-1.970753836032282102e-01,1.923549071135192967e-02,-1.998362690764996646e-02,8.855112157530026229e-01,1.114542445321436315e+00,1.977368730073468139e+00,8.431577720632342121e+00,2.507655368959229136e+00,-2.288654061786845570e-05
-2.018031515240553408e-01,1.819649371760466774e-02,-1.987110588662881552e-02,8.933572212195123319e-01,1.117122881970155079e+00,1.977368730073468139e+00,7.801637480161589977e+00,2.548358734682340643e+00,-1.387063067749603268e-05
-2.070169151171520061e-01,1.725800640949379239e-02,-1.975892733283029015e-02,9.011333187074074269e-01,1.119668447853350512e+00,1.977368730073468139e+00,7.694272556933965390e+00,2.504012247811784331e+00,-1.387063067749603268e-05
-2.122135360714849650e-01,1.623029219327538214e-02,-1.964714374601110938e-02,9.088397994999322105e-01,1.122214013736545946e+00,1.977368730073468139e+00,7.606067829392701540e+00,2.539844941572493742e+00,-1.387063067749603268e-05
-2.175001677094422214e-01,1.492178452874268549e-02,-1.953578937102322735e-02,9.165462386805649508e-01,1.124968804212880702e+00,1.977368730073468139e+00,7.588474321441363912e+00,2.700871173702146688e+00,-1.387063067749603268e-05
-2.228264968620535247e-01,1.358060784084847220e-02,-1.942489821954078780e-02,9.242526778611976912e-01,1.127828206985785231e+00,1.977368730073468139e+00,7.591104886549351782e+00,2.812103228762656837e+00,-1.387063067749603268e-05
-2.281394534229942705e-01,1.240434366946821347e-02,-1.931450406000516720e-02,9.319242462763071000e-01,1.130652738993166428e+00,1.977368730073468139e+00,7.588746879334177464e+00,2.773508892434057849e+00,-1.387063067749603268e-05
-2.334386540391179543e-01,1.094927635781486365e-02,-1.920464040760898675e-02,9.395958146914167308e-01,1.133616754062640508e+00,1.977368730073468139e+00,7.553082713736198883e+00,2.906670414595689422e+00,-1.387063067749603268e-05
-2.387583994229825479e-01,9.484112520440804439e-03,-1.909534051432508830e-02,9.472325123410029191e-01,1.136650510663161029e+00,1.977368730073468139e+00,7.546273621136616150e+00,2.991617624522344254e+00,-1.387063067749603268e-05
-2.440867898532186886e-01,8.101129538452395834e-03,-1.890696723049446401e-02,9.548692099905892183e-01,1.139684267263681772e+00,1.977333859307945030e+00,7.528488698481932140e+00,2.984812693111964510e+00,-3.113124349257209364e-02
-2.493638880105471245e-01,6.636622645538423071e-03,-1.885899356455427930e-02,9.624710368746522970e-01,1.142752894629725402e+00,1.977333859307945030e+00,7.467654192925035517e+00,3.025474446943044793e+00,-1.081215661310815958e-03
-2.545272978697072919e-01,5.007856537022650940e-03,-1.875365256481094367e-02,9.699333806966224936e-01,1.145961005057862137e+00,1.977333859307945030e+00,7.385032394231462405e+00,3.123036301939348558e+00,-4.577308123573691140e-05
-2.596652964601360303e-01,3.554427145118168978e-03,-1.864699842184818282e-02,9.773259829875461380e-01,1.149099373954952430e+00,1.977333859307945030e+00,7.313077110528883651e+00,3.084289388673297161e+00,-1.387063067749603268e-05
-2.647621267777688359e-01,2.133252926686639295e-03,-1.862065136038636159e-02,9.846488437474234523e-01,1.152168001320996282e+00,1.977368646849684275e+00,7.236002870574775869e+00,3.052248231808281087e+00,3.111182460962360133e-02
-2.699381309929837491e-01,5.957210952584500105e-04,-1.845532736950216551e-02,9.919717045073006556e-01,1.155306370218086576e+00,1.977368646849684275e+00,7.218331687091644966e+00,3.077823594182982347e+00,1.067345030633319808e-03
-2.750333388533722223e-01,-5.735420914662519090e-04,-1.837785071762006173e-02,9.992248237361314178e-01,1.158235514522037324e+00,1.977403600838991471e+00,7.155861140646338825e+00,2.871604766711445489e+00,5.813874848472461686e-03
-2.799948348591368430e-01,-1.724080024850953774e-03,-1.826297682303471351e-02,1.006373330668392629e+00,1.161025175763895412e+00,1.977403600838991471e+00,7.023548501082171214e+00,2.734258475274413680e+00,1.907211718155704574e-04
-2.848707959628409836e-01,-2.980797392451227205e-03,-1.815981735524807572e-02,1.013382354538560737e+00,1.163779966240230168e+00,1.977403600838991471e+00,6.897445049340782397e+00,2.717406352532790059e+00,0.000000000000000000e+00
